"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","7","0","","0"
"0","get Customer based on Query Params","0","","1","0","","0"
"0","Single Customer Creation using JSON","0","Customer Onboarding","1","0","","0"
"0","Single Customer Creation","0","Customer Onboarding","1","0","","0"
"0","Customer Creation","0","Customer Onboarding","1","0","","0"
"0","Get all the user from the Customer dB","0","","1","0","","0"
"0","Customer Deletion using user id","0","","1","0","","0"
"0","Fethc Customer based on user Id","0","","1","0","","0"
"0","Update Customer based on User id","0","","1","0","","0"
